sample_id,std_value,std_unit,unit_category,brand_score,is_premium_brand,total_premium_score
295979,298.69235,ml,volume,0.5,False,0.08000000000000002
262333,2129.292,ml,volume,0.5,False,0.32000000000000006
209156,453.592,g,weight,0.6,False,0.09
11241,14.17475,g,weight,0.5,False,0.15
50604,10.0,item,count,0.5,False,0.48000000000000004
184343,16.0,item,count,1.02,True,0.96
217392,1.0,item,count,0.5,False,1.1600000000000001
13187,1133.98,g,weight,0.72,True,0.97
55004,340.19399999999996,g,weight,0.5,False,0.63
182180,1999.1685999999997,ml,volume,0.0,False,0.0
21764,6.0,item,count,0.5,False,2.1
70671,473.176,ml,volume,0.5,False,0.18
165919,42.524249999999995,g,weight,0.5,False,0.36
261335,15141.632,ml,volume,0.5,False,0.26999999999999996
72584,99.22325,g,weight,0.84,True,0.8600000000000001
143166,2.0,item,count,0.5,False,0.09
186882,1.13398,g,weight,1.44,True,0.0
39645,1445.8245,g,weight,0.5,False,0.32999999999999996
17551,,,,0.84,True,0.0
60187,340.19399999999996,g,weight,0.5,False,1.7600000000000002
170797,574.90884,ml,volume,0.5,False,0.21
66314,4046.60763,g,weight,0.72,True,0.0
51091,2.0,item,count,0.5,False,0.5700000000000001
287788,453.592,g,weight,0.5,False,0.18
104303,311.8445,g,weight,0.5,False,0.0
84407,566.99,g,weight,1.08,True,0.0
222817,453.592,g,weight,0.5,False,0.0
82351,2839.056,ml,volume,0.5,False,0.0
146107,453.592,g,weight,0.5,False,0.95
288989,1.0,item,count,0.5,False,0.8399999999999999
237589,207.0145,ml,volume,0.78,True,0.15
76467,1417.475,g,weight,0.5,False,0.4
140742,2.0,item,count,0.5,False,0.0
113002,147.8675,ml,volume,0.5,False,0.0
233032,226.796,g,weight,0.5,False,1.32
195259,340.19399999999996,g,weight,0.5,False,0.06
62879,2721.5519999999997,g,weight,0.52,False,0.68
80530,4082.328,g,weight,0.5,False,1.5699999999999998
137179,612.3492,g,weight,0.5,False,0.36
33905,5.386405,g,weight,0.5,False,0.09
18662,,,,0.6,False,0.0
159533,,,,0.72,True,0.0
36107,260.81539999999995,g,weight,0.5,False,0.0
154665,2839.056,ml,volume,0.5,False,0.0
37027,11001.342,ml,volume,0.5,False,0.0
240232,907.184,g,weight,0.5,False,0.0
245432,1999.1685999999997,ml,volume,0.72,True,0.09
127312,113.398,g,weight,0.5,False,0.51
171816,1892.704,ml,volume,0.5,False,1.09
16997,1.0,item,count,0.5,False,0.9600000000000001
240492,29.5735,ml,volume,0.5,False,0.36000000000000004
164102,793.786,g,weight,0.5,False,0.0
13764,1.0,item,count,0.5,False,1.3100000000000003
187870,999.5842999999999,ml,volume,0.5,False,0.12
11448,13607.76,g,weight,0.5,False,0.8
43719,24.0,item,count,0.5,False,0.09
232550,496.11625,g,weight,0.5,False,0.44999999999999996
115910,1.0,item,count,0.5,False,0.09
60725,1.0,item,count,0.5,False,0.09
104621,28.632994999999998,g,weight,0.5,False,0.8
133818,100.0,g,weight,0.5,False,0.0
77796,737.087,g,weight,0.5,False,0.0
216080,255.1455,g,weight,0.5,False,0.0
73501,283.495,g,weight,0.5,False,0.4
214869,354.882,ml,volume,0.5,False,0.4
275959,1.5,item,count,0.96,True,0.0
288383,300.50469999999996,g,weight,0.5,False,0.33
149544,340.19399999999996,g,weight,0.5,False,0.95
176733,6123.492,g,weight,0.75,True,0.79
17129,565.005535,g,weight,1.08,True,1.2000000000000002
269085,85.04849999999999,g,weight,0.5,False,1.1
29960,6140.5017,g,weight,0.5,False,0.0
93964,1000.000263,g,weight,0.5,False,0.49
68575,20819.744,ml,volume,0.5,False,0.41000000000000003
243936,453.592,g,weight,0.5,False,0.51
85054,759.7666,g,weight,0.84,True,0.0
220124,453.592,g,weight,0.5,False,0.26999999999999996
92050,680.3879999999999,g,weight,0.5,False,0.0
160003,368.5435,g,weight,0.5,False,0.33
110326,24.0,item,count,0.5,False,1.2900000000000003
143699,680.3879999999999,g,weight,0.5,False,0.95
66426,1020.582,g,weight,0.5,False,0.36
297010,5323.23,ml,volume,1.32,True,0.0
221734,88.45044,g,weight,0.8999999999999999,True,0.09
57696,473.176,ml,volume,0.96,True,0.0
151150,12.0,item,count,0.5,False,1.22
17929,453.592,g,weight,0.5,False,0.95
16136,283.495,g,weight,0.5,False,0.0
221234,464.36481,g,weight,0.5,False,1.05
22217,907.184,g,weight,0.72,True,0.32000000000000006
269532,191.63628,ml,volume,0.5,False,0.09
77067,2267.96,g,weight,0.5,False,0.27999999999999997
289489,226.796,g,weight,0.5,False,0.98
297033,1.0,item,count,0.5,False,0.77
120241,425.2425,g,weight,0.5,False,0.0
262905,473.176,ml,volume,0.78,True,0.32000000000000006
231581,453.592,g,weight,0.84,True,1.1199999999999999
267698,56.699,g,weight,0.5,False,0.0
252779,226.796,g,weight,0.5,False,0.32000000000000006
79518,,,,0.66,False,0.0
